"usa_n","usa_p2o5","usa_k2o","china_n","china_p2o5","china_k2o","germany_n","germany_p2o5","germany_k2o","japan_n","japan_p2o5","japan_k2o","india_n","india_p2o5","india_k2o","uk_n","uk_p2o5","uk_k2o","france_n","france_p2o5","france_k2o","italy_n","italy_p2o5","italy_k2o","brazil_n","brazil_p2o5","brazil_k2o","canada_n","canada_p2o5","canada_k2o"
48.09,21.8,22.67,169.13,65.77,26.5,122.96,26.3,38.47,80.73,120.7,71.16,64.19,24.77,9.21,150.47,32.95,46.81,106.93,36.7,47.71,73.38,44.67,35.45,27.36,42.61,44.36,34.22,13.87,7.17
48.3,22.82,22.74,170.53,67.58,30.7,119.27,23.61,35.77,80.78,106.61,67.41,66.6,25.7,9.83,167.94,34.25,51.82,110.74,35.07,47.22,69.42,33.19,23.63,26.44,44.46,46.22,33.74,14.93,7.37
49.95,22.15,23,191.23,78.64,36.86,119.22,24.56,33.99,79.48,101.2,64.06,61.57,23.7,9.4,164.08,33.94,50.25,101.69,32.92,44.54,77.57,29.02,23.59,31.35,47.8,50.09,36.26,16.09,7.83
53.81,24.91,25.65,191.34,73.93,36.02,121.52,21.25,34.36,83.37,102.55,66.13,65.24,24.33,9.41,158.51,34.58,49.27,109.8,34.48,45.22,80.35,30,23.85,35.54,54.36,57.4,36.71,16.96,8.22
50.96,23.95,24.04,198.36,81.66,41.87,117.58,22.52,33.61,80.54,99.79,66.29,68.94,27.27,12.13,153.37,33.16,47.93,107.38,31.56,41.08,82.29,30.2,24.99,39.99,66.92,71.88,34.54,15.22,7.85
49.75,23.12,21.95,200.41,86.95,54.11,118,20.37,29.93,80.3,98.76,68.98,74.99,30.71,14.22,146.95,31.39,45.71,101.83,27.57,33.94,77.48,27.6,24.22,33.21,48.29,53.29,40.2,17.42,7.85
54.5,23.6,23.85,204.05,89.77,46.96,106.09,19.74,31.18,77.68,100.19,68.79,81.2,32.75,13.76,130.71,26.8,39.71,102.09,25.73,33.86,80.52,27.31,23.79,34.84,50.44,56.85,31.3,15.61,3.19
55.43,23.42,23.13,208.6,77.37,62.53,119.73,23.6,35.99,82.38,108.32,83.75,85.21,32.61,15.58,131.53,25.57,38.78,111.67,29.38,36.91,83.74,28.9,27.96,45.76,66.97,68.36,47.66,19.05,6.16
50.57,17.3,15.29,210.6,80.09,45.39,102.25,12.93,12.55,62.21,73.06,61.86,87.75,35.73,19.56,132.34,24.87,40.28,97.78,13.79,18.17,66.75,19.84,20.55,41.55,58.31,68.1,44.45,17.37,6.14
53.98,22.95,22.14,213.88,94.93,36.39,103.35,17.43,25.39,60.75,67.24,45.97,91.67,42.71,21.44,124.49,14.82,25.61,88.72,7.69,6.32,53.82,17.94,15.96,35.63,43.04,38.19,45.04,14.68,6.21
56.54,23.69,22.69,219.3,106.26,54.72,118.65,21.4,30.61,71.31,86.68,55.81,97.21,48.43,20.47,135.11,21.41,31.29,95.21,12.96,20.22,51.78,18.72,19.26,45.13,53.65,62.03,48.76,17.19,7.53
59.49,23.99,22.9,224.93,102.5,67.42,108.68,18.42,27.2,67.88,82.81,58.82,102.54,49.65,15.33,133.88,22.01,34.76,90.76,11.28,18.49,55.9,21.58,20.2,55.56,69.27,76.23,59.83,21.95,7.61
62.14,27.02,25.1,229.96,104.08,69.7,109.61,21.25,29.74,69.75,77.69,64,99.33,39.29,12.18,127.84,21.03,31.04,94.5,20.27,22.41,61.82,17.47,11.92,50.02,65.73,69.85,66.53,20.37,8.97
60.97,26.91,27.11,232.49,104.34,66.98,110.98,21.17,32.18,64.7,77.13,63.42,98.85,33.25,12.39,126.65,21.52,31.73,101.11,22.54,20.96,66.09,18.85,12.2,58.61,78.82,78.44,58.35,22.58,8.21
59.46,24.37,24.39,235.15,101.7,83.11,120.79,22.45,32.38,70.08,79.35,62.69,100.02,35.99,14.95,135.07,22.41,33.93,100.55,20.7,22.52,62.93,18.5,11.93,65,81.28,86.87,59.9,24.65,9.94
59.39,24.75,25.06,235.05,96.95,89.95,113.56,21.49,28.06,63.9,76.78,48.68,102.54,41.19,14.18,138.48,22.64,33.66,103.56,20.35,21.68,66.89,18.71,12.25,50.04,68.63,75.18,60.4,26.1,10.13
58.26,24.7,25.32,233.31,92.48,88.36,110.93,17.38,30.56,68.03,75.06,54.69,98.84,39.6,14.81,135.16,22.71,33.35,101.95,19.05,18.29,65.88,17.74,12.64,51.68,63,84.51,57.22,25.09,9.65
57.75,24.99,25.55,228.11,90.62,86.4,100.02,15.68,27.81,69.4,79.79,55.09,100.41,40.58,16.45,135.84,22.27,33.77,108.54,21.22,21.89,65.01,17.88,12.43,64.56,72.01,93.57,57.49,26.45,10.49
59.72,25.31,25.14,218.58,86.45,82.82,90.01,15.18,29.18,66.86,76.49,54.98,104.45,41.28,16.47,135.83,21.63,32.3,102.07,20.72,23,64.93,17.88,12.48,65.12,80.43,100.03,64.13,29.08,10.44
59.49,24.95,25.43,208.88,82.73,79.07,92.14,18.72,29.93,65.03,74.23,51.23,111.84,44.26,15.66,135.43,21.23,32.66,96.05,18.95,19.24,64.16,18.86,11.85,69.65,76.58,101.39,59.52,29.14,10.45
60.76,25.78,27.18,201.34,80.55,76.37,85.35,14.58,31.99,64.94,73.65,43.15,121.42,53.42,18.77,128.43,20.22,31.5,95.14,20.69,22.98,61.22,23.97,13.99,83.85,114.02,108.14,71.39,31.09,17.59
60.16,24.35,25.54,196.39,79.38,74.19,73.98,8.7,21.91,65.28,74.04,43.38,115.97,46.58,15.05,133.95,19.77,32.94,90.2,19.08,23.53,61.11,10.72,14.84,95.08,104.44,122.8,66.27,28.47,22.22
59.07,23.73,24.84,191.35,75.43,69.95,67.95,8.79,17.14,65.65,74.45,43.62,120.24,47.14,10.21,114.17,12.75,24.46,79.27,11.01,11.19,60.24,10.31,14.67,96.18,90.46,115.2,64.28,26.69,17.91
