"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",90,4,"ro",128.7307,133.0591732449,132.601547241211,1.6575872138665,0.136804261244647,-0.466103153961822,11.4793161577866,10.9649158725163,2.32140450943763,2.23887338466063,0.13321528044406,0.17205681951127
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",90,5,"ro",124.7449,126.89255794949,126.44654083252,1.9154133563601,-0.0546496337178968,-0.385271867933752,10.1059398598308,9.35104900259258,2.19851283743513,2.06206985656698,0.590934431447827,0.621490704490616
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",90,1,"sa",138.9813,142.986727227105,142.707565307617,1.76995876933348,0.225830216340294,-0.427688414853912,16.0434472716343,13.8850531427514,2.84105064428383,2.64566034837616,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",90,2,"sa",134.6643,142.383738878038,142.205070495605,2.75258445456726,0.130553539125272,-0.676686241688074,37.816591931701,35.3741364050727,4.20684314243749,4.04641439807938,-7.11667732730149,-6.59244649677792
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",90,3,"sa",134.1667,141.535087246365,141.702575683594,3.49194386963633,0.400664683659107,-0.0271696512434727,43.3087714919322,42.5125650429084,4.58629090176283,4.51873197994409,-8.26622783316043,-8.09587365074588
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",90,4,"sa",128.7307,140.708769056532,140.697601318359,4.18451556198505,0.439228247078999,0.295038617254608,68.3501131997121,67.686105573019,5.6624936847646,5.60984413895697,-4.16100723136217,-4.11086908231435
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",90,5,"sa",124.7449,139.826618787977,139.692611694336,4.60467045961936,0.28930178391794,-0.454470105600125,100.171738879696,98.8357014378127,6.81016763715753,6.74893299523788,-3.05472522952147,-3.00064545828284
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,1,"ro",138.9813,143.024135437012,142.707565307617,1.66947917192672,-0.216171158720521,-0.47228982275991,16.3445183707577,13.8850531427514,2.86720391097903,2.64566034837616,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,2,"ro",134.6643,137.273860397339,137.21354675293,1.86811724209406,-0.0122725993994456,-0.912261516479869,11.5771619190586,10.191856075037,2.39321733036958,2.26047433437828,-1.48483755047606,-1.18750561332383
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",200,3,"ro",134.1667,132.608981704712,132.649185180664,2.00437587132314,0.153125949670241,-0.457703014212666,8.52693670853078,7.56218779232604,1.98474865782505,1.88614942441868,-0.82440035905669,-0.617985285357058
