"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",60,5,"ro",4394652.127879,3950168.54166667,3996309.875,195557.647777496,-0.263527521323204,-0.666077068413014,100522534642.412,93506568373.439,6.60953559822619,6.38755858404417,-1.40973090857933,-1.24154383657567
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",60,1,"sa",3889177.589255,4032421.28333333,4039431.625,176259.465808057,0.00231592157711439,-0.644559431943701,20518755893.2071,22576275257.6597,3.61653490367985,3.79017382960067,-Inf,-Inf
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",60,2,"sa",3887727.161914,4033629.98333333,4017675.25,289909.05331488,-0.261143755561301,0.869438946037631,20903194595.6645,19731390427.4333,3.65015917246349,3.53887531816054,-39743.8350970058,-37515.7946307895
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",60,3,"sa",4278503.93469,4053935.94166667,4046683.75,380213.051199853,-0.233076288463866,0.877933875901349,30745724227.2855,31067792961.524,4.23017602931568,4.2156262560675,0.0906130849883754,0.0810870419364799
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",60,4,"sa",4076923.618912,4061429.8125,4061188,499498.559273284,-0.283414232216206,0.510747382397857,23119307679.7473,23362747146.7789,3.26782207819762,3.25839825612581,0.110714813449088,0.101350903644698
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",60,5,"sa",4394652.127879,4028553.4875,4053935.875,575756.336410203,-0.377025078128033,0.383843245928281,45301089041.2684,41907710712.6045,4.35278172142985,4.21984616071422,-0.0859598282452296,-0.00461360401627453
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,1,"ro",3889177.589255,4049745.76666667,4053935.875,174654.126724848,-0.12993847143961,-0.216558962647529,25782139597.3044,27145292721.6311,4.04508697749043,4.1484560553348,-Inf,-Inf
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,2,"ro",3887727.161914,3835242.57222222,3858733.25,183922.946808779,-0.025387525106116,-0.721060632955089,14268385876.2094,13992969824.8539,2.70213426144747,2.44851396436963,-27128.5682176736,-26604.8987137567
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,3,"ro",4278503.93469,3896154.20277778,3906357,164910.616450185,-0.261148354617161,-0.492789415346351,58242696415.2555,55493093549.6236,4.91959386400147,4.66352372759692,-0.722683311132527,-0.641356462267307
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,4,"ro",4076923.618912,4351458.39444444,4364264,184495.464292969,-0.0392014492307739,-0.501422127322704,62524358055.604,62260943813.1669,5.31832812429061,5.19965674243328,-1.40500218205762,-1.39486994163889
"gdp","germany","chronos-zeroshot","amazon/chronos-t5-base",90,5,"ro",4394652.127879,3981711.50555556,3988489.25,205961.357662905,-0.144550116281824,-0.636242449116331,84123477957.4579,82802411723.9239,6.22659514416715,6.09772385810595,-1.01661195365193,-0.984943292027433
